	Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	
[H H1 L L V:] \-> H (H1) (L L) V:		0	2	0	0	0	0	2	1	1	3	4	1	3	1	1	0	1
[H H1 L L V:C] \-> (H) (H1) L L V:C		0	3	0	0	0	1	1	0	1	1	7	1	3	0	1	0	1
[H H1 L L V:C] \-> H (H1) (L L) V:C		0	2	0	0	0	0	2	1	1	3	4	1	3	1	1	0	1
[H L H H1 V:C] \-> H L (H) (H1) V:C		0	3	0	0	0	0	2	0	1	5	3	3	1	1	1	0	1
[H L H H1 VC] \-> H L (H) (H1) VC		0	3	0	0	0	0	2	0	1	5	3	3	1	1	1	0	1
[H L H H1 V] \-> H L (H) (H1) V		0	3	0	0	0	0	1	0	1	5	3	3	1	1	1	0	1
[H L L H1 V:] \-> H (L L) (H1) V:		0	2	0	0	0	0	2	1	1	4	3	3	1	1	1	0	1
[H L L H1 VC] \-> H (L L) (H1) VC		0	2	0	0	0	0	2	1	1	4	3	3	1	1	1	0	1
[H L L H1 V] \-> H (L L) (H1) V		0	2	0	0	0	0	1	1	1	4	3	3	1	1	1	0	1
[H L L H1 V:C] \-> H (L L) (H1) V:C		0	2	0	0	0	0	2	1	1	4	3	3	1	1	1	0	1
[H L H H1 V:] \-> H L (H) (H1) V:		0	3	0	0	0	0	2	0	1	5	3	3	1	1	1	0	1
[L H H1 H V] \-> L (H) (H1) H V		0	3	0	0	0	0	1	0	1	3	5	2	2	1	1	0	1
[L H H1 H V] \-> L H (H1) (H) V		0	3	0	0	0	0	1	0	1	5	3	2	2	1	1	0	1
[L H H H1 V] \-> L H (H) (H1) V		0	3	0	0	0	0	1	0	1	5	3	3	1	1	1	0	1
[L H H1 H VC] \-> L (H) (H1) H VC		0	3	0	0	0	0	2	0	1	3	5	2	2	1	1	0	1
[L H H1 H VC] \-> L H (H1) (H) VC		0	3	0	0	0	0	2	0	1	5	3	2	2	1	1	0	1
[L H H H1 VC] \-> L H (H) (H1) VC		0	3	0	0	0	0	2	0	1	5	3	3	1	1	1	0	1
[L H H1 L V:] \-> L (H) (H1) L V:		0	3	0	0	0	0	1	0	1	3	5	2	2	1	1	0	1
[L H H1 L VC] \-> L (H) (H1) L VC		0	3	0	0	0	0	1	0	1	3	5	2	2	1	1	0	1
[L H H1 H V:] \-> L (H) (H1) H V:		0	3	0	0	0	0	2	0	1	3	5	2	2	1	1	0	1
[L H H1 H V:] \-> L H (H1) (H) V:		0	3	0	0	0	0	2	0	1	5	3	2	2	1	1	0	1
[L H H H1 V:] \-> L H (H) (H1) V:		0	3	0	0	0	0	2	0	1	5	3	3	1	1	1	0	1
[L H H1 H V:C] \-> L (H) (H1) H V:C		0	3	0	0	0	0	2	0	1	3	5	2	2	1	1	0	1
[L H H1 H V:C] \-> L H (H1) (H) V:C		0	3	0	0	0	0	2	0	1	5	3	2	2	1	1	0	1
[L H H H1 V:C] \-> L H (H) (H1) V:C		0	3	0	0	0	0	2	0	1	5	3	3	1	1	1	0	1
[L H H1 L V:C] \-> L (H) (H1) L V:C		0	3	0	0	0	0	1	0	1	3	5	2	2	1	1	0	1
[L L H1 H V:] \-> (L L) (H1) H V:		0	2	0	0	0	1	2	1	1	2	5	2	2	0	1	0	1
[L L H1 H V:] \-> L L (H1) (H) V:		0	3	0	0	0	0	1	0	1	5	3	2	2	1	1	0	1
[L L H H1 V:] \-> L L (H) (H1) V:		0	3	0	0	0	0	1	0	1	5	3	3	1	1	1	0	1
[L L H1 H V] \-> (L L) (H1) H V		0	2	0	0	0	1	1	1	1	2	5	2	2	0	1	0	1
[L L H1 H V] \-> L L (H1) (H) V		0	3	0	0	0	0	0	0	1	5	3	2	2	1	1	0	1
[L L H H1 V] \-> L L (H) (H1) V		0	3	0	0	0	0	0	0	1	5	3	3	1	1	1	0	1
[L L H1 H VC] \-> (L L) (H1) H VC		0	2	0	0	0	1	2	1	1	2	5	2	2	0	1	0	1
[L L H1 H VC] \-> L L (H1) (H) VC		0	3	0	0	0	0	1	0	1	5	3	2	2	1	1	0	1
[L L H H1 VC] \-> L L (H) (H1) VC		0	3	0	0	0	0	1	0	1	5	3	3	1	1	1	0	1
[L L H1 L V:] \-> (L L) (H1) L V:		0	2	0	0	0	1	1	1	1	2	5	2	2	0	1	0	1
[L L H1 L V:C] \-> (L L) (H1) L V:C		0	2	0	0	0	1	1	1	1	2	5	2	2	0	1	0	1
[L L H1 L VC] \-> (L L) (H1) L VC		0	2	0	0	0	1	1	1	1	2	5	2	2	0	1	0	1
[L L H1 L V] \-> (L L) (H1) L V		0	2	0	0	0	1	0	1	1	2	5	2	2	0	1	0	1
[L L L H1 V:C] \-> L (L L) (H1) V:C		0	2	0	0	0	0	1	1	1	4	3	3	1	1	1	0	1
[L L L H1 V] \-> L (L L) (H1) V		0	2	0	0	0	0	0	1	1	4	3	3	1	1	1	0	1
[L L L H1 VC] \-> L (L L) (H1) VC		0	2	0	0	0	0	1	1	1	4	3	3	1	1	1	0	1
[L L H1 H V:C] \-> (L L) (H1) H V:C		0	2	0	0	0	1	2	1	1	2	5	2	2	0	1	0	1
[L L H1 H V:C] \-> L L (H1) (H) V:C		0	3	0	0	0	0	1	0	1	5	3	2	2	1	1	0	1
[L L H H1 V:C] \-> L L (H) (H1) V:C		0	3	0	0	0	0	1	0	1	5	3	3	1	1	1	0	1
[L L L H1 V:] \-> L (L L) (H1) V:		0	2	0	0	0	0	1	1	1	4	3	3	1	1	1	0	1
[H1 H V] \-> (H1) (H) V		0	1	0	0	0	1	0	0	1	1	3	0	2	0	1	0	1
[H1 H V:] \-> (H1) (H) V:		0	1	0	0	0	1	1	0	1	1	3	0	2	0	1	0	1
[H1 H VC] \-> (H1) (H) VC		0	1	0	0	0	1	1	0	1	1	3	0	2	0	1	0	1
[H1 H V:C] \-> (H1) (H) V:C		0	1	0	0	0	1	1	0	1	1	3	0	2	0	1	0	1
[H1 H H V:] \-> (H1) (H) H V:		0	2	0	0	0	1	2	0	1	1	5	0	3	0	1	0	1
[H H1 H V:] \-> (H) (H1) H V:		0	2	0	0	0	1	2	0	1	1	5	1	2	0	1	0	1
[H H1 H V:] \-> H (H1) (H) V:		0	2	0	0	0	0	2	0	1	3	3	1	2	1	1	0	1
[H1 H H V:C] \-> (H1) (H) H V:C		0	2	0	0	0	1	2	0	1	1	5	0	3	0	1	0	1
[H H1 H V:C] \-> (H) (H1) H V:C		0	2	0	0	0	1	2	0	1	1	5	1	2	0	1	0	1
[H H1 H V:C] \-> H (H1) (H) V:C		0	2	0	0	0	0	2	0	1	3	3	1	2	1	1	0	1
[H1 H H VC] \-> (H1) (H) H VC		0	2	0	0	0	1	2	0	1	1	5	0	3	0	1	0	1
[H H1 H VC] \-> (H) (H1) H VC		0	2	0	0	0	1	2	0	1	1	5	1	2	0	1	0	1
[H H1 H VC] \-> H (H1) (H) VC		0	2	0	0	0	0	2	0	1	3	3	1	2	1	1	0	1
[H1 H H V] \-> (H1) (H) H V		0	2	0	0	0	1	1	0	1	1	5	0	3	0	1	0	1
[H H1 H V] \-> (H) (H1) H V		0	2	0	0	0	1	1	0	1	1	5	1	2	0	1	0	1
[H H1 H V] \-> H (H1) (H) V		0	2	0	0	0	0	1	0	1	3	3	1	2	1	1	0	1
[H1 H L V:] \-> (H1) (H) L V:		0	2	0	0	0	1	1	0	1	1	5	0	3	0	1	0	1
[H1 H L V:C] \-> (H1) (H) L V:C		0	2	0	0	0	1	1	0	1	1	5	0	3	0	1	0	1
[H1 H L VC] \-> (H1) (H) L VC		0	2	0	0	0	1	1	0	1	1	5	0	3	0	1	0	1
[H1 H L V] \-> (H1) (H) L V		0	2	0	0	0	1	0	0	1	1	5	0	3	0	1	0	1
[H1 L L V:] \-> (H1) (L L) V:		0	1	0	0	0	1	1	1	1	1	4	0	3	0	1	0	1
[H1 L L V:C] \-> (H1) (L L) V:C		0	1	0	0	0	1	1	1	1	1	4	0	3	0	1	0	1
[H1 L L VC] \-> (H1) (L L) VC		0	1	0	0	0	1	1	1	1	1	4	0	3	0	1	0	1
[H1 L L V] \-> (H1) (L L) V		0	1	0	0	0	1	0	1	1	1	4	0	3	0	1	0	1
[L H1 H V:] \-> L (H1) (H) V:		0	2	0	0	0	0	1	0	1	3	3	1	2	1	1	0	1
[L H1 H V:C] \-> L (H1) (H) V:C		0	2	0	0	0	0	1	0	1	3	3	1	2	1	1	0	1
[L H1 H V] \-> L (H1) (H) V		0	2	0	0	0	0	0	0	1	3	3	1	2	1	1	0	1
[L H1 H VC] \-> L (H1) (H) VC		0	2	0	0	0	0	1	0	1	3	3	1	2	1	1	0	1
[H1 H H H V:] \-> (H1) (H) H H V:		0	3	0	0	0	1	3	0	1	1	7	0	4	0	1	0	1
[H H1 H H V:] \-> (H) (H1) H H V:		0	3	0	0	0	1	3	0	1	1	7	1	3	0	1	0	1
[H H1 H H V:] \-> H (H1) (H) H V:		0	3	0	0	0	0	3	0	1	3	5	1	3	1	1	0	1
[H H H1 H V:] \-> H (H) (H1) H V:		0	3	0	0	0	0	3	0	1	3	5	2	2	1	1	0	1
[H H H1 H V:] \-> H H (H1) (H) V:		0	3	0	0	0	0	3	0	1	5	3	2	2	1	1	0	1
[H1 H H H VC] \-> (H1) (H) H H VC		0	3	0	0	0	1	3	0	1	1	7	0	4	0	1	0	1
[H H1 H H VC] \-> (H) (H1) H H VC		0	3	0	0	0	1	3	0	1	1	7	1	3	0	1	0	1
[H H1 H H VC] \-> H (H1) (H) H VC		0	3	0	0	0	0	3	0	1	3	5	1	3	1	1	0	1
[H H H1 H VC] \-> H (H) (H1) H VC		0	3	0	0	0	0	3	0	1	3	5	2	2	1	1	0	1
[H H H1 H VC] \-> H H (H1) (H) VC		0	3	0	0	0	0	3	0	1	5	3	2	2	1	1	0	1
[H1 H H H V] \-> (H1) (H) H H V		0	3	0	0	0	1	2	0	1	1	7	0	4	0	1	0	1
[H H1 H H V] \-> (H) (H1) H H V		0	3	0	0	0	1	2	0	1	1	7	1	3	0	1	0	1
[H H1 H H V] \-> H (H1) (H) H V		0	3	0	0	0	0	2	0	1	3	5	1	3	1	1	0	1
[H H H1 H V] \-> H (H) (H1) H V		0	3	0	0	0	0	2	0	1	3	5	2	2	1	1	0	1
[H H H1 H V] \-> H H (H1) (H) V		0	3	0	0	0	0	2	0	1	5	3	2	2	1	1	0	1
[H1 H H H V:C] \-> (H1) (H) H H V:C		0	3	0	0	0	1	3	0	1	1	7	0	4	0	1	0	1
[H H1 H H V:C] \-> (H) (H1) H H V:C		0	3	0	0	0	1	3	0	1	1	7	1	3	0	1	0	1
[H H1 H H V:C] \-> H (H1) (H) H V:C		0	3	0	0	0	0	3	0	1	3	5	1	3	1	1	0	1
[H H H1 H V:C] \-> H (H) (H1) H V:C		0	3	0	0	0	0	3	0	1	3	5	2	2	1	1	0	1
[H H H1 H V:C] \-> H H (H1) (H) V:C		0	3	0	0	0	0	3	0	1	5	3	2	2	1	1	0	1
[H1 H H L V:] \-> (H1) (H) H L V:		0	3	0	0	0	1	2	0	1	1	7	0	4	0	1	0	1
[H H1 H L V:] \-> (H) (H1) H L V:		0	3	0	0	0	1	2	0	1	1	7	1	3	0	1	0	1
[H H1 H L V:] \-> H (H1) (H) L V:		0	3	0	0	0	0	2	0	1	3	5	1	3	1	1	0	1
[H1 H H L V:C] \-> (H1) (H) H L V:C		0	3	0	0	0	1	2	0	1	1	7	0	4	0	1	0	1
[H H1 H L V:C] \-> (H) (H1) H L V:C		0	3	0	0	0	1	2	0	1	1	7	1	3	0	1	0	1
[H H1 H L V:C] \-> H (H1) (H) L V:C		0	3	0	0	0	0	2	0	1	3	5	1	3	1	1	0	1
[H1 H H L VC] \-> (H1) (H) H L VC		0	3	0	0	0	1	2	0	1	1	7	0	4	0	1	0	1
[H H1 H L VC] \-> (H) (H1) H L VC		0	3	0	0	0	1	2	0	1	1	7	1	3	0	1	0	1
[H H1 H L VC] \-> H (H1) (H) L VC		0	3	0	0	0	0	2	0	1	3	5	1	3	1	1	0	1
[H1 H L H V:] \-> (H1) (H) L H V:		0	3	0	0	0	1	2	0	1	1	7	0	4	0	1	0	1
[H1 H L H V:C] \-> (H1) (H) L H V:C		0	3	0	0	0	1	2	0	1	1	7	0	4	0	1	0	1
[H1 H L H VC] \-> (H1) (H) L H VC		0	3	0	0	0	1	2	0	1	1	7	0	4	0	1	0	1
[H1 H L H V] \-> (H1) (H) L H V		0	3	0	0	0	1	1	0	1	1	7	0	4	0	1	0	1
[H1 H L L VC] \-> (H1) (H) L L VC		0	3	0	0	0	1	1	0	1	1	7	0	4	0	1	0	1
[H H1 L L VC] \-> (H) (H1) L L VC		0	3	0	0	0	1	1	0	1	1	7	1	3	0	1	0	1
[H H1 L L VC] \-> H (H1) (L L) VC		0	2	0	0	0	0	2	1	1	3	4	1	3	1	1	0	1
[H1 H L L V] \-> (H1) (H) L L V		0	3	0	0	0	1	0	0	1	1	7	0	4	0	1	0	1
[H H1 L L V] \-> (H) (H1) L L V		0	3	0	0	0	1	0	0	1	1	7	1	3	0	1	0	1
[H H1 L L V] \-> H (H1) (L L) V		0	2	0	0	0	0	1	1	1	3	4	1	3	1	1	0	1
[H1 H H L V] \-> (H1) (H) H L V		0	3	0	0	0	1	1	0	1	1	7	0	4	0	1	0	1
[H H1 H L V] \-> (H) (H1) H L V		0	3	0	0	0	1	1	0	1	1	7	1	3	0	1	0	1
[H H1 H L V] \-> H (H1) (H) L V		0	3	0	0	0	0	1	0	1	3	5	1	3	1	1	0	1
[H1 H L L V:] \-> (H1) (H) L L V:		0	3	0	0	0	1	1	0	1	1	7	0	4	0	1	0	1
[H H1 L L V:] \-> (H) (H1) L L V:		0	3	0	0	0	1	1	0	1	1	7	1	3	0	1	0	1
[H H1 L L V:] \-> H (H1) (L L) V:		0	2	0	0	0	0	2	1	1	3	4	1	3	1	1	0	1
[H1 H L L V:C] \-> (H1) (H) L L V:C		0	3	0	0	0	1	1	0	1	1	7	0	4	0	1	0	1
[H H1 L L V:C] \-> (H) (H1) L L V:C		0	3	0	0	0	1	1	0	1	1	7	1	3	0	1	0	1
[H H1 L L V:C] \-> H (H1) (L L) V:C		0	2	0	0	0	0	2	1	1	3	4	1	3	1	1	0	1
[H L H1 H V:C] \-> H L (H1) (H) V:C		0	3	0	0	0	0	2	0	1	5	3	2	2	1	1	0	1
[H L H1 H VC] \-> H L (H1) (H) VC		0	3	0	0	0	0	2	0	1	5	3	2	2	1	1	0	1
[H L H1 H V] \-> H L (H1) (H) V		0	3	0	0	0	0	1	0	1	5	3	2	2	1	1	0	1
[H1 L L H V:] \-> (H1) (L L) H V:		0	2	0	0	0	1	2	1	1	1	6	0	4	0	1	0	1
[H1 L L H VC] \-> (H1) (L L) H VC		0	2	0	0	0	1	2	1	1	1	6	0	4	0	1	0	1
[H1 L L H V] \-> (H1) (L L) H V		0	2	0	0	0	1	1	1	1	1	6	0	4	0	1	0	1
[H1 L L H V:C] \-> (H1) (L L) H V:C		0	2	0	0	0	1	2	1	1	1	6	0	4	0	1	0	1
[H1 L L L VC] \-> (H1) (L L) L VC		0	2	0	0	0	1	1	1	1	1	6	0	4	0	1	0	1
[H1 L L L V:] \-> (H1) (L L) L V:		0	2	0	0	0	1	1	1	1	1	6	0	4	0	1	0	1
[H L H1 H V:] \-> H L (H1) (H) V:		0	3	0	0	0	0	2	0	1	5	3	2	2	1	1	0	1
[H1 L L L V:C] \-> (H1) (L L) L V:C		0	2	0	0	0	1	1	1	1	1	6	0	4	0	1	0	1
[L H1 H H V] \-> L (H1) (H) H V		0	3	0	0	0	0	1	0	1	3	5	1	3	1	1	0	1
[L H H1 H V] \-> L (H) (H1) H V		0	3	0	0	0	0	1	0	1	3	5	2	2	1	1	0	1
[L H H1 H V] \-> L H (H1) (H) V		0	3	0	0	0	0	1	0	1	5	3	2	2	1	1	0	1
